Address,Latitude,Longitude,CorrectValue
福井県 福井市 在田町,35.9947998,136.1440818,0
福井県 福井市 赤坂町,36.0008277,135.9857622,0
福井県 福井市 赤谷町,35.960489,136.3454768,0
福井県 福井市 明里町,36.0602396,136.19906,0
福井県 福井市 朝谷町,35.99855,136.3576296,0
福井県 福井市 朝宮町,36.039072,136.171291,0
福井県 福井市 足谷町,36.0773498,136.1070671,0
福井県 福井市 味見河内町,35.9471178,136.4413943,0
福井県 福井市 足羽,36.0608423,136.2084618,0
福井県 福井市 足羽上町,36.0545015,136.2055512,0
福井県 福井市 浅水三ケ町,36.0045966,136.2045505,0
福井県 福井市 浅水町,36.0056296,136.1985732,0
福井県 福井市 浅水二日町,36.0038547,136.1935515,0
福井県 福井市 網戸瀬町,36.1057007,136.1986386,0
福井県 福井市 安波賀町,36.0098571,136.300672,0
福井県 福井市 安波賀中島町,36.0166561,136.2974668,0
福井県 福井市 安保町,36.0087265,136.1974926,0
福井県 福井市 天池町,36.1049453,136.2192113,0
福井県 福井市 尼ケ谷町,36.0230411,136.0469533,0
福井県 福井市 天菅生町,36.1228532,136.168722,0
福井県 福井市 鮎川町,36.0912092,136.0324206,0
福井県 福井市 荒木新保町,36.0344273,136.2668033,0
福井県 福井市 荒木町,36.039074,136.2675836,0
福井県 福井市 荒木別所町,36.0438958,136.2664918,0
福井県 福井市 荒谷町,36.1164282,136.1352308,0
福井県 福井市 飯塚町,36.0661942,136.1856754,0
福井県 福井市 幾久町,36.0808595,136.226746,0
福井県 福井市 幾代,36.088203,136.2251546,0
福井県 福井市 居倉町,36.0111881,135.9889864,0
福井県 福井市 池尻町,36.1471412,136.1516035,0
福井県 福井市 生部町,35.9883836,136.246294,0
福井県 福井市 石新保町,36.1474103,136.1072293,0
福井県 福井市 石橋町,36.1487407,136.1034739,0
福井県 福井市 石畠町,36.1379004,136.1217901,0
福井県 福井市 石盛町,36.1168914,136.2199135,0
福井県 福井市 泉田町,36.092905,136.2712649,0
福井県 福井市 板垣,36.0507386,136.2281134,0
福井県 福井市 板垣町,36.0521217,136.2287883,0
福井県 福井市 一王寺町,36.0997888,136.136078,0
福井県 福井市 市波町,36.0188549,136.3306737,0
福井県 福井市 市ノ瀬町,36.1344508,136.0992251,0
福井県 福井市 一本木町,36.0521411,136.226144,0
福井県 福井市 糸崎町,36.1222649,136.0564929,0
福井県 福井市 稲多新町,36.1025511,136.2235996,0
福井県 福井市 稲多浜町,36.1020206,136.2234496,0
福井県 福井市 稲多元町,36.1022318,136.2248662,0
福井県 福井市 稲津町,36.0305748,136.2562404,0
福井県 福井市 今泉町,36.0680682,136.2534942,0
福井県 福井市 今市町,36.0211392,136.2070634,0
福井県 福井市 岩倉町,36.0040872,136.2592512,0
福井県 福井市 印田町,36.0571888,136.2603555,0
福井県 福井市 上野町,36.142025,136.1479708,0
福井県 福井市 上野本町,36.1132536,136.236912,0
福井県 福井市 上野本町新,36.1151674,136.2389923,0
福井県 福井市 上伏町,36.0941354,136.1930141,0
福井県 福井市 宇坂大谷町,36.0397472,136.3323286,0
福井県 福井市 宇坂別所町,36.0038616,136.325333,0
福井県 福井市 羽水,36.0410677,136.2312083,0
福井県 福井市 獺ケ口町,36.0182394,136.3565071,0
福井県 福井市 謡谷町,36.041094,136.0397311,0
福井県 福井市 内山梨子町,36.1326207,136.1577926,0
福井県 福井市 馬垣町,36.0471281,136.2367187,0
福井県 福井市 漆原町,36.1156653,136.2534938,0
福井県 福井市 運動公園,36.051951,136.184837,0
福井県 福井市 江上町,36.1291109,136.1721493,0
福井県 福井市 江尻ケ丘町,35.9926812,136.1876277,0
福井県 福井市 江端町,36.0274691,136.2104963,0
福井県 福井市 海老助町,36.0878778,136.18862,0
福井県 福井市 江守中,36.0366341,136.1941523,0
福井県 福井市 江守中町,36.0371537,136.1997438,0
福井県 福井市 江守の里,36.0279793,136.181268,0
福井県 福井市 円山,36.0699425,136.2452307,0
福井県 福井市 円成寺町,36.0191126,136.2574236,0
福井県 福井市 大窪町,36.1372649,136.0797625,0
福井県 福井市 大久保町,36.0156029,136.3399506,0
福井県 福井市 大島町,36.0303741,136.2045854,0
福井県 福井市 大瀬町,36.0702548,136.1848394,0
福井県 福井市 太田町,36.0097967,136.2315702,0
福井県 福井市 大谷町,36.1314318,136.1365724,0
福井県 福井市 大手,36.0661807,136.2254766,0
福井県 福井市 大年町,36.1159173,136.1415414,0
福井県 福井市 大土呂町,36.0200977,136.2114298,0
福井県 福井市 大町,36.0337768,136.2175928,0
福井県 福井市 大味町,36.0492234,136.0172019,0
福井県 福井市 大宮,36.0814536,136.2160887,0
福井県 福井市 大宮町,36.0004665,136.4109887,0
福井県 福井市 大村町,35.9957657,136.2413973,0
福井県 福井市 大森町,36.0215069,136.1180972,0
福井県 福井市 大矢町,36.0337451,136.0482389,0
福井県 福井市 大和田,36.0941898,136.2495084,0
福井県 福井市 大和田町,36.0984842,136.2571133,0
福井県 福井市 岡西谷町,36.0381771,136.2751886,0
福井県 福井市 奥平町,36.0807577,136.1015011,0
福井県 福井市 恐神町,36.0702514,136.1627226,0
福井県 福井市 小当見町,35.9623127,136.4040183,0
福井県 福井市 大丹生町,36.0732408,136.0272442,0
福井県 福井市 大畑町,36.041888,136.2804962,0
福井県 福井市 小羽町,36.0297867,136.1395724,0
福井県 福井市 小山谷町,36.0528656,136.2036681,0
福井県 福井市 折立町,35.9486849,136.3526572,0
福井県 福井市 開発,36.0786188,136.2387062,0
福井県 福井市 開発町,36.0846683,136.24287,0
福井県 福井市 柿谷町,36.0993255,136.1577649,0
福井県 福井市 学園,36.0699244,136.1972518,0
福井県 福井市 花月,36.0695661,136.2072895,0
福井県 福井市 篭谷町,36.0276827,136.3904042,0
福井県 福井市 風尾町,36.0376779,136.0470083,0
福井県 福井市 風巻町,36.0269093,136.1403169,0
福井県 福井市 春日,36.0516354,136.2199278,0
福井県 福井市 春日町,36.0501996,136.2215722,0
福井県 福井市 片粕町,36.046971,136.1677664,0
福井県 福井市 片山町,36.0247459,136.1597427,0
福井県 福井市 主計中町,35.9891711,136.2039733,0
福井県 福井市 勝見,36.0558711,136.225791,0
福井県 福井市 鹿俣町,35.9822929,136.2792826,0
福井県 福井市 金屋町,36.0711597,136.1660862,0
福井県 福井市 上莇生田町,36.0259141,136.2325698,0
福井県 福井市 上一光町,36.0679144,136.0921078,0
福井県 福井市 上江尻町,35.990251,136.1864641,0
福井県 福井市 上北野,36.0605993,136.2503532,0
福井県 福井市 上河北町,36.0161376,136.2344226,0
福井県 福井市 上天下町,36.0321863,136.1329646,0
福井県 福井市 上東郷町,36.0122804,136.2606066,0
福井県 福井市 上中町,36.0836698,136.2695735,0
福井県 福井市 上毘沙門町,36.0187327,136.2760719,0
福井県 福井市 上細江町,36.0160573,136.2472466,0
福井県 福井市 上森田,36.1119814,136.2338234,0
福井県 福井市 上森田町,36.1146978,136.2345261,0
福井県 福井市 上六条町,36.0273696,136.2471993,0
福井県 福井市 加茂内町,36.0188822,136.1127841,0
福井県 福井市 蒲生町,36.0374302,136.0132,0
福井県 福井市 加茂河原,36.0624031,136.1946605,0
福井県 福井市 加茂河原町,36.0566872,136.1935245,0
福井県 福井市 加茂町,36.0206098,136.1159587,0
福井県 福井市 加茂緑苑町,36.0517961,136.1929413,0
福井県 福井市 河合勝見町,36.1084837,136.1973191,0
福井県 福井市 河合寄安町,36.1207729,136.250194,0
福井県 福井市 川合鷲塚町,36.116269,136.2030822,0
福井県 福井市 川尻町,36.1454883,136.0981161,0
福井県 福井市 神当部町,35.9540445,136.4329037,0
福井県 福井市 岸水町,36.1094719,136.1739661,0
福井県 福井市 北今泉町,36.0720676,136.2522775,0
福井県 福井市 北菅生町,36.1074885,136.0467995,0
福井県 福井市 北楢原町,36.1046144,136.1781408,0
福井県 福井市 北野上町,36.0985684,136.2736896,0
福井県 福井市 北野下町,36.0981292,136.2672596,0
福井県 福井市 北堀町,36.0667489,136.1579898,0
福井県 福井市 北山新保町,36.0035811,136.2403834,0
福井県 福井市 北山町,36.0018646,136.2379448,0
福井県 福井市 北四ツ居,36.0685093,136.245417,0
福井県 福井市 北四ツ居町,36.0708982,136.2495221,0
福井県 福井市 木田,36.0487332,136.223886,0
福井県 福井市 木田町,36.0443782,136.2202142,0
福井県 福井市 狐橋,36.0597614,136.1787679,0
福井県 福井市 城戸ノ内町,36.0017303,136.297042,0
福井県 福井市 木下町,36.1448107,136.1280474,0
福井県 福井市 経栄,36.0885862,136.2241131,0
福井県 福井市 経田,36.0892443,136.2213829,0
福井県 福井市 木米町,36.0988113,136.1421413,0
福井県 福井市 久喜津町,36.0547119,136.1751683,0
福井県 福井市 串野町,36.1397363,136.1331001,0
福井県 福井市 国見町,36.0969811,136.0590213,0
福井県 福井市 国山町,36.0524653,136.0436244,0
福井県 福井市 茱崎町,36.0400244,136.0124527,0
福井県 福井市 蔵作町,35.9882398,136.3587829,0
福井県 福井市 グリーンハイツ,36.0442434,136.1638891,0
福井県 福井市 栗森町,36.1176811,136.2410643,0
福井県 福井市 栗森町浜,36.1150453,136.2414171,0
福井県 福井市 黒丸城町,36.1477579,136.1563195,0
福井県 福井市 下馬,36.040179,136.2374385,0
福井県 福井市 下馬町,36.0370071,136.2421551,0
福井県 福井市 毛矢,36.0573762,136.213578,0
福井県 福井市 堅達町,36.0724962,136.2738845,0
福井県 福井市 乾徳,36.0727546,136.2104086,0
福井県 福井市 小稲津町,36.034688,136.2446161,0
福井県 福井市 小宇坂町,35.9910896,136.3676765,0
福井県 福井市 合島町,36.0379462,136.2636203,0
福井県 福井市 河水町,36.0510009,136.2737354,0
福井県 福井市 河内町,36.0875763,136.118588,0
福井県 福井市 河増町,36.059544,136.2546279,0
福井県 福井市 光陽,36.0656555,136.202054,0
福井県 福井市 甑谷町,36.0024711,136.1454868,0
福井県 福井市 小尉町,36.1581153,136.1562631,0
福井県 福井市 御所垣内町,36.1317742,136.1692663,0
福井県 福井市 小丹生町,36.0703104,136.024189,0
福井県 福井市 小野町,36.1392391,136.1274201,0
